Year (negative values = BC),"EPICA Dome C and  Vostok Station,  Antarctica","Law Dome, Antarctica (75-year smoothed)","Siple Station, Antarctica","Mauna Loa, Hawaii","Barrow, Alaska","Cape Matatula,  American Samoa","South Pole, Antarctica","Cape Grim, Australia","Lampedusa Island, Italy","Shetland Islands, Scotland"
1815,,284,,,,,,,,
1816,,,283.8,,,,,,,
1820,,284.2,,,,,,,,
1825,,284.3,,,,,,,,
1830,,284.4,,,,,,,,
1835,,284.5,,,,,,,,
1839,,,283.1,,,,,,,
1840,,284.6,,,,,,,,
1843,,,287.4,,,,,,,
1845,,284.8,,,,,,,,
1847,,,286.8,,,,,,,
1850,,285.2,,,,,,,,
1854,,,288.2,,,,,,,
1855,,285.7,,,,,,,,
1860,,286.3,,,,,,,,
1865,,287.2,,,,,,,,
1869,,,289.3,,,,,,,
1870,,288.2,,,,,,,,
1874,,,289.5,,,,,,,
1875,,289.4,,,,,,,,
1878,,,290.3,,,,,,,
1880,,290.8,,,,,,,,
1885,,292.3,,,,,,,,
1887,,,292.3,,,,,,,
1890,,293.7,,,,,,,,
1895,,295.2,,,,,,,,
1899,,,295.8,,,,,,,
1900,,296.7,,,,,,,,
1903,,,294.8,,,,,,,
1905,,298.2,296.9,,,,,,,
1909,,,299.2,,,,,,,
1910,,299.9,,,,,,,,
1915,,301.5,300.5,,,,,,,
1920,,303.2,,,,,,,,
1921,,,301.6,,,,,,,
1925,,304.9,,,,,,,,
1927,,,305.5,,,,,,,
1930,,306.5,,,,,,,,
1935,,308,306.6,,,,,,,
1940,,309.3,,,,,,,,
1943,,,307.9,,,,,,,
1945,,310.5,,,,,,,,
1950,,312,,,,,,,,
1953,,,312.7,,,,,,,
1955,,314.1,,,,,,,,
1959,,,,315.97,,,,,,
1960,,316.9,,316.91,,,,,,
1961,,,,317.64,,,,,,
1962,,,,318.45,,,,,,
1963,,,,318.99,,,,,,
1964,,,,319.62,,,,,,
1965,,320.5,,320.04,,,,,,
1966,,,,321.38,,,,,,
1967,,,,322.16,,,,,,
1968,,,,323.04,,,,,,
1969,,,,324.62,,,,,,
1970,,324.7,,325.68,,,,,,
1971,,,,326.32,,,,,,
1972,,,,327.45,,,,,,
1973,,,,329.68,,,,,,
1974,,,,330.18,333.7618333,,,,,
1975,,329.4,,331.08,333.6116667,,,,,
1976,,,,332.05,333.3510833,331.45575,329.7715,,,
1977,,,,333.78,334.7231667,332.6333,331.6089167,,,
1978,,,,335.41,336.7908333,,333.3290909,,,
1979,,,,336.78,337.9083333,336.2990909,,,,
1980,,,,338.68,339.9141667,338.0191667,337.0783333,,,
1981,,,,340.1,341.8566667,339.1333333,338.4483333,,,
1982,,,,341.44,342.9025,340.26,339.8525,,,
1983,,,,343.03,344.155,341.71,341.1436364,,,
1984,,,,344.58,346.1258333,343.485,342.6458333,,,
1985,,,,346.04,346.9675,344.7225,343.975,,,
1986,,,,347.39,348.6641667,346.1033333,345.37,,,
1987,,,,349.16,349.9308333,347.805,346.9741667,,,
1988,,,,351.56,353.195,350.1391667,348.9708333,,,
1989,,,,353.07,355.1666667,351.5416667,350.6091667,,,
1990,,,,354.35,355.9216667,352.918,351.8941667,,,
1991,,,,355.57,357.7533333,354.1608333,352.9116667,,,
1992,,,,356.38,357.8608333,355.0575,354.2766667,354.07,,
1993,,,,357.07,358.1116667,355.8716667,355.1125,354.87,360.8,356.89
1994,,,,358.82,360.005,357.5783333,356.5508333,356.32,361.23,358.62
1995,,,,360.8,362.2608333,359.5708333,358.4041667,358.31,363.22,360.59
1996,,,,362.59,364.1466667,361.1141667,360.0441667,359.8,363.66,362.7
1997,,,,363.71,365.0608333,362.21,361.42,361.13,364.83,363.99
1998,,,,366.65,367.7483333,364.715,363.8708333,363.6,367.98,366.06
1999,,,,368.33,369.3766667,367.1125,365.785,365.54,370.83,368.31
2000,,,,369.52,371.1808333,368.4808333,367.1241667,366.82,371.86,369.13
2001,,,,371.13,372.6166667,369.8283333,368.7191667,368.33,,370.97
2002,,,,373.22,374.1618182,372.0125,370.7583333,370.5,,372.34
2003,,,,375.77,377.2891667,374.1041667,373.0483333,372.78,,
2004,,,,377.49,378.6591667,376.0691667,374.8958333,374.66,,
2005,,,,379.8,381.0408333,378.05,376.7433333,376.61,,
2006,,,,381.9,383.4258333,379.9591667,378.6691667,378.5,,
2007,,,,383.76,384.9583333,382.0941667,380.6825,,,
2008,,,,385.59,387.4083333,383.85,382.7141667,,,
2009,,,,387.37,388.2683333,385.5183333,384.22,,,
2010,,,,389.85,390.8208333,387.5027273,386.105,,,
2011,,,,391.63,393.1108333,389.58,387.9875,,,
2012,,,,393.82,394.94,391.5666667,390.0608333,,,
2013,,,,396.48,397.9566667,394.32,392.8066667,,,
2014,,,,398.61,399.8516667,396.1375,394.8225,,,
2015,,,,400.83,,,,,,